animal_weight,madness_index
115.0,1.6516362549940018e+38
115.25,1.6516362549940018e+38
114.75,4.4896128191743455e+38
115.0,4.4896128191743455e+38
115.25,4.4896128191743455e+38
115.5,4.4896128191743455e+38
114.5,1.2204032943178408e+39
114.75,1.2204032943178408e+39
115.0,1.2204032943178408e+39
115.25,1.2204032943178408e+39
115.5,1.2204032943178408e+39
115.75,1.2204032943178408e+39
114.25,3.317400098335743e+39
114.5,3.317400098335743e+39
114.75,3.317400098335743e+39
115.0,3.317400098335743e+39
115.25,3.317400098335743e+39
115.5,3.317400098335743e+39
115.75,3.317400098335743e+39
116.0,3.317400098335743e+39
114.0,9.017628405034299e+39
114.25,9.017628405034299e+39
114.5,9.017628405034299e+39
114.75,9.017628405034299e+39
115.0,9.017628405034299e+39
115.25,9.017628405034299e+39
115.5,9.017628405034299e+39
115.75,9.017628405034299e+39
116.0,9.017628405034299e+39
113.5,2.451245542920086e+40
113.75,2.451245542920086e+40
114.0,2.451245542920086e+40
114.25,2.451245542920086e+40
114.5,2.451245542920086e+40
114.75,2.451245542920086e+40
115.0,2.451245542920086e+40
115.25,2.451245542920086e+40
115.5,2.451245542920086e+40
115.75,2.451245542920086e+40
113.25,6.663176216410896e+40
113.5,6.663176216410896e+40
113.75,6.663176216410896e+40
114.0,6.663176216410896e+40
114.25,6.663176216410896e+40
114.5,6.663176216410896e+40
114.75,6.663176216410896e+40
115.0,6.663176216410896e+40
115.25,6.663176216410896e+40
115.5,6.663176216410896e+40
113.0,1.8112390828890233e+41
113.25,1.8112390828890233e+41
390828890233e+41
113.75,1.8112390828890233e+41
114.0,1.8112390828890233e+41
114.25,1.8112390828890233e+41
114.5,1.8112390828890233e+41
114.75,1.8112390828890233e+41
115.0,1.8112390828890233e+41
113.0,4.923458286012
113.25,4.923458286012058e+41
113.5,4.923458286012058e+41
113.75,4.923458286012058e+41
114.0,4.923458286012058e+41
114.25,4.923458286012058e+41
114.5,4.923458286012058e+41
114.75,4.923458286012058e+41
136.5,4.923458286012058e+41
113.25,1.3383347192042695e+42
113.5,1.3383347192042695e+42
113.75,1.3383347192042695e+42
114.0,1.3383347192042695e+42
114.25,1.3383347192042695e+42
114.5,1.3383347192042695e+42
136.25,1.3383347192042695e+42
